Job title,Company name,Location,posted,Experience,Career Level,Education Level,Salary,Job Categories,Skills and Tools,Job link,Company Link
Fundamental Data Analyst,Mubasher,"Nasr City, Cairo, Egypt ",Posted 4 days ago,0 to 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Accounting/Finance | Analyst/Research,Finance | Accounting | Political Science | Economics | Data Analyst | Microsoft Office | DirectFN | DCP | Fundamental Data Analyst | Data Analysis | Analysis | Commerce | MS Office,https://wuzzuf.net/jobs/p/VjgUaYrBDBn4-Fundamental-Data-Analyst-Mubasher-Cairo-Egypt?o=1&l=sp&t=sj&a=data science|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Mubasher-Egypt-1737
Senior Data Scientist,Wakeb Data,"Mohandessin, Giza, Egypt ",Posted 11 days ago,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,data scientist | Computer Science | SQL | Software Development | Data Science | Information Technology (IT) | Algorithms | Python,https://wuzzuf.net/jobs/p/EoqeMUGYN5D1-Senior-Data-Scientist-Wakeb-Data-Giza-Egypt?o=2&l=sp&t=sj&a=data science|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Wakeb-Data-Egypt-44210
Segmentations & Data Mining Senior Specialist,Etisalat Egypt,"Cairo, Egypt ",Posted 9 days ago,1 to 4 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Marketing/PR/Advertising | Analyst/Research,Data | Data Mining | Computer Science | Information Technology (IT) | Python | Machine Learning | Power BI,https://wuzzuf.net/jobs/p/6y9iPo2Sa6R6-Segmentations-Data-Mining-Senior-Specialist-Etisalat-Egypt-Cairo-Egypt?o=3&l=sp&t=sj&a=data science|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219
Data Architect,Centro CDX,"Maadi, Cairo, Egypt ",Posted 14 days ago,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,AWS | Azure | Big Data | Computer Engineering | Computer Science | Data | Data Modeling | Data Warehousing | ETL | Engineering | Information Technology (IT) | Informatica | Incorta | DWH,https://wuzzuf.net/jobs/p/qOgnbq0NmyDm-Data-Architect-Centro-CDX-Cairo-Egypt?o=4&l=sp&t=sj&a=data science|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Centro-Global-Solutions-Egypt-2799
Data Scientist Manager,Tamweely,"Shubra, Cairo, Egypt ",Posted 17 days ago,7 to 10 years,Manager ,Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Communication skills | Computer Science | Data Analysis | Economics | Mathematics | Management | Banking Sector | Information Technology (IT) | Microsoft Office | Statistics,https://wuzzuf.net/jobs/p/2pF5Y3Tq2cjq-Data-Scientist-Manager-Tamweely-Cairo-Egypt?o=5&l=sp&t=sj&a=data science|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Tamweely-Egypt-30002
Data Analytics Engineer,Dar Al Handasah,"Smart Village, Giza, Egypt ",Posted 16 days ago,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,sql | PostgreSQL | Python | BI | Linux | Database | Thingsboard | IOT | Power BI | MapReduce | Information Technology (IT) | Computer Science | Algorithms,https://wuzzuf.net/jobs/p/qrvyUBYzpj5p-Data-Analytics-Engineer-Dar-Al-Handasah-Giza-Egypt?o=6&l=sp&t=sj&a=data science|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/-83067
Data Scientist “Mathematics/Physics”,Dafa,"Cairo, Egypt ",Posted 25 days ago,7 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Business Objects | Computer Science | D3 | Data Mining | Gurobi | Information Technology (IT) | Mathematics | Python | Spark | Statistics,https://wuzzuf.net/jobs/p/bRZ7uIbexSQa-Data-Scientist-“MathematicsPhysics”-Dafa-Cairo-Egypt?o=7&l=sp&t=sj&a=data science|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Tarseya-Egypt-76749
Data Warehouse Engineer,ITS ,"Kuwait City, Kuwait ",Posted 24 days ago,More than 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology,Data Warehouse | Engineering | Computer Science | Computer Engineering | Information Technology (IT) | Banking | Oracle | SQL | Sybase | Database | Software Engineering | .Net | JavaScript,https://wuzzuf.net/jobs/p/7aAnJajW6GRA-Data-Warehouse-Engineer-ITS-Kuwait-City-Kuwait?o=8&l=sp&t=sj&a=data science|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/ITS-Egypt-29055
Senior Data Analyst - Cairo,Confidential Company,"Cairo, Egypt ",Posted 25 days ago,5 to 9 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Data | Google Analytics | Marketing | Management | MS Office | RSC | Analysis | Computer Science | Data Analysis | Data Management | Information Technology (IT) | Tableau,https://wuzzuf.net/jobs/p/R7KdIv7dCm0z-Senior-Data-Analyst---Cairo-Cairo-Egypt?o=9&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Confidential Company
Senior Data Analyst,Alarabia Group,"10th of Ramadan City, Cairo, Egypt ",Posted 25 days ago,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,BI | BI Developer | Computer Science | developer | Information Technology (IT) | Power | Power BI | power bi developer | SQL,https://wuzzuf.net/jobs/p/TWguALrIS6vT-Senior-Data-Analyst-Alarabia-Group-Cairo-Egypt?o=10&l=sp&t=sj&a=data science|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Alarabia-Group-Egypt-11230
